iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
85,-2604.02,7.04875,-2996.96,-3198.559219,1446.819973,97653.724
86,-2594.72,7.90439,-2961.74,-3188.214878,1401.013976,97696.8685
87,-2610.57,8.28966,-2953.02,-3208.103084,1320.385637,97707.5505
88,-2645.51,8.04925,-2965.18,-3250.610081,1219.15318,97692.6545
89,-2685.58,7.02692,-2984.42,-3298.443477,1119.490522,97669.0855
90,-2721.06,5.30535,-3001.53,-3339.797554,1034.879628,97648.12575
91,-2747.97,3.08963,-3012.56,-3370.048047,970.5491103,97634.614
92,-2767.26,0.490441,-3017.84,-3390.49429,925.8391563,97628.146
93,-2773.83,-2.0678,-3012.83,-3395.408695,906.8761252,97634.28325
94,-2764.84,-3.91362,-2994.62,-3382.134816,915.9332893,97656.5905
95,-2743.49,-4.7556,-2966.24,-3354.94964,947.6752605,97691.356
96,-2721.36,-4.81619,-2939.29,-3327.766167,986.8648598,97724.36975
97,-2704.05,-4.29346,-2918.89,-3307.201762,1025.123706,97749.35975
98,-2694.91,-3.31956,-2907.92,-3297.198289,1056.224962,97762.798
99,-2693.85,-1.99822,-2905.89,-3297.518431,1077.540845,97765.28475
100,-2698.07,-0.374,-2909.62,-3304.6776,1089.167654,97760.7155
101,-2705.72,1.39485,-2916.91,-3316.215691,1090.133965,97751.78525
102,-2715.37,3.07199,-2926.05,-3330.091438,1079.759134,97740.58875
103,-2726.33,4.38201,-2936.07,-3345.122212,1057.764925,97728.31425
104,-2738.14,5.10553,-2946.35,-3360.475774,1024.80247,97715.72125
105,-2748.83,5.22391,-2955,-3373.71604,984.4122374,97705.125
106,-2756.06,4.90333,-2960.03,-3382.180079,941.3941989,97698.96325
107,-2759.15,4.33963,-2961.03,-3385.274797,899.1242973,97697.73825
108,-2758.62,3.69716,-2958.59,-3383.838521,859.7400886,97700.72725
109,-2755.68,3.08814,-2953.94,-3379.490971,824.3540322,97706.4235
110,-2751.49,2.5964,-2948.23,-3373.75584,793.4180338,97713.41825
111,-2747.41,2.24571,-2942.81,-3368.328245,766.3686255,97720.05775
112,-2744.14,2.04958,-2938.33,-3364.082236,742.5999039,97725.54575
113,-2742.52,1.95749,-2935.58,-3361.984925,720.7836463,97728.9145
114,-2742.89,1.91742,-2934.85,-3362.38909,699.8729822,97729.80875
115,-2744.7,1.89472,-2935.62,-3364.578532,679.8156556,97728.8655
116,-2746.81,1.88937,-2936.78,-3367.156728,661.2752064,97727.4445
117,-2748.27,1.92165,-2937.39,-3368.984771,644.8250959,97726.69725
118,-2748.85,2.00581,-2937.22,-3369.798367,630.3447906,97726.9055
119,-2748.64,2.14847,-2936.31,-3369.715876,617.4590832,97728.02025
120,-2747.91,2.34321,-2934.94,-3369.060182,605.7500639,97729.6985
121,-2746.85,2.57794,-2933.3,-3368.049227,594.9586217,97731.7075
122,-2745.55,2.83183,-2931.47,-3366.767742,585.0568034,97733.94925
123,-2744.09,3.07704,-2929.54,-3365.279624,576.0484988,97736.3135
124,-2742.76,3.28124,-2927.8,-3363.900519,567.7735242,97738.445
125,-2741.58,3.42206,-2926.24,-3362.627523,560.4125131,97740.356
126,-2740.68,3.48153,-2925.03,-3361.597874,553.9952783,97741.83825
127,-2740.09,3.45624,-2924.17,-3360.844144,548.6893157,97742.89175
128,-2739.81,3.35114,-2923.67,-3360.372397,544.6227484,97743.50425
129,-2739.77,3.17662,-2923.44,-3360.10961,541.9914903,97743.786
130,-2739.92,2.94133,-2923.46,-3360.005129,540.9027044,97743.7615
131,-2740.17,2.65687,-2923.59,-3359.962916,541.4753395,97743.60225
132,-2740.43,2.3364,-2923.77,-3359.88884,543.7488215,97743.38175
133,-2740.56,2.00297,-2923.82,-3359.639638,547.7451164,97743.3205
134,-2740.51,1.67773,-2923.7,-3359.179969,553.2899034,97743.4675
135,-2740.22,1.3822,-2923.35,-3358.462695,560.2094144,97743.89625
136,-2739.8,1.12516,-2922.87,-3357.633321,568.104312,97744.48425
137,-2739.27,0.91061,-2922.31,-3356.721247,576.6697142,97745.17025
138,-2738.6,0.744751,-2921.6,-3355.69732,585.6707581,97746.04
139,-2737.71,0.630533,-2920.69,-3354.467153,594.9821937,97747.15475
140,-2736.74,0.55979,-2919.71,-3353.192243,604.2126018,97748.35525
141,-2735.69,0.531446,-2918.66,-3351.871271,613.1886714,97749.6415
142,-2734.67,0.534568,-2917.65,-3350.625596,621.680405,97750.87875
143,-2733.75,0.56292,-2916.75,-3349.533327,629.5231824,97751.98125
144,-2733.01,0.60884,-2916.02,-3348.683079,636.585677,97752.8755
145,-2732.46,0.666219,-2915.49,-3348.079618,642.8640222,97753.52475
146,-2732.08,0.731278,-2915.11,-3347.693816,648.3882014,97753.99025
147,-2731.8,0.802785,-2914.82,-3347.438412,653.2897589,97754.3455
148,-2731.55,0.880346,-2914.55,-3347.227174,657.6990715,97754.67625
149,-2731.29,0.963841,-2914.25,-3347.010955,661.6984387,97755.04375
150,-2730.96,1.05174,-2913.88,-3346.714381,665.4180124,97755.497
151,-2730.55,1.14208,-2913.43,-3346.322798,668.9162547,97756.04825
152,-2730.05,1.23307,-2912.88,-3345.821761,672.2621872,97756.722
