time,field,initial_residual,final_residual,linear_iterations
31,k,0.0647285,0.00640904,1
32,Ux,0.0840244,0.0020661,2
32,Uy,0.122018,0.00364315,2
32,p,0.278294,0.00228103,4
32,omega,0.0435355,0.00334042,1
32,k,0.0623562,0.00616333,1
33,Ux,0.0879062,0.00217542,2
33,Uy,0.116685,0.0031774,2
33,p,0.248299,0.0015589,4
33,omega,0.0487072,0.00379395,1
33,k,0.0623988,0.00089788,2
34,Ux,0.0962864,0.00237187,2
34,Uy,0.115894,0.00275059,2
34,p,0.228752,0.00121595,4
34,omega,0.0504035,0.00429858,1
34,k,0.0619232,0.00105987,2
35,Ux,0.102546,0.00253674,2
35,Uy,0.107964,0.0026134,2
35,p,0.210019,0.000814507,4
35,omega,0.0513563,0.00459909,1
35,k,0.0649063,0.00119,2
36,Ux,0.108328,0.00263418,2
36,Uy,0.100509,0.00240272,2
36,p,0.207298,0.000929038,4
36,omega,0.0520634,0.00449192,1
36,k,0.0668945,0.00120997,2
37,Ux,0.111168,0.00266434,2
37,Uy,0.0956362,0.00245814,2
37,p,0.213359,0.0011875,4
37,omega,0.0501149,0.00413079,1
37,k,0.0680003,0.00110576,2
38,Ux,0.114515,0.00265175,2
38,Uy,0.0983407,0.00256983,2
38,p,0.223561,0.00132841,4
38,omega,0.0476384,0.00375656,1
38,k,0.0668678,0.00100147,2
39,Ux,0.115951,0.00259869,2
39,Uy,0.105349,0.00297034,2
39,p,0.241849,0.00136925,4
39,omega,0.0479543,0.00358561,1
39,k,0.0675476,0.00099722,2
40,Ux,0.116346,0.00252574,2
40,Uy,0.115196,0.00364193,2
40,p,0.258028,0.00142801,4
40,omega,0.0461227,0.00367444,1
40,k,0.0696819,0.0010597,2
41,Ux,0.114942,0.00244145,2
41,Uy,0.127261,0.00446922,2
41,p,0.272496,0.00154694,4
41,omega,0.0446111,0.00404729,1
41,k,0.07134,0.00118591,2
42,Ux,0.114775,0.00246416,2
42,Uy,0.141813,0.00538058,2
42,p,0.276203,0.00175502,4
42,omega,0.0439909,0.000662224,2
42,k,0.0724069,0.00135754,2
43,Ux,0.113169,0.0025268,2
43,Uy,0.157358,0.00618863,2
43,p,0.274325,0.00198135,4
43,omega,0.0420793,0.000743189,2
43,k,0.0731522,0.0015637,2
44,Ux,0.11273,0.00266105,2
44,Uy,0.16749,0.00652119,2
44,p,0.2712,0.00194915,4
44,omega,0.0416072,0.000796745,2
44,k,0.0732112,0.00172098,2
45,Ux,0.111971,0.0027804,2
45,Uy,0.172171,0.00618289,2
45,p,0.280793,0.00192468,4
45,omega,0.0417206,0.000820945,2
45,k,0.0729589,0.00183324,2
46,Ux,0.110345,0.00294315,2
46,Uy,0.170017,0.00559037,2
46,p,0.290107,0.00183938,4
46,omega,0.0407237,0.000829384,2
46,k,0.071657,0.0019028,2
47,Ux,0.106964,0.00306106,2
47,Uy,0.162814,0.00546989,2
47,p,0.292574,0.00175424,4
47,omega,0.0395013,0.00082123,2
47,k,0.0706407,0.00196869,2
48,Ux,0.101447,0.00311905,2
48,Uy,0.159203,0.00578808,2
48,p,0.285983,0.00165317,4
48,omega,0.0369729,0.000795407,2
48,k,0.0693037,0.00200887,2
49,Ux,0.0979696,0.00315399,2
49,Uy,0.162748,0.00633217,2
49,p,0.278784,0.00179818,4
49,omega,0.0355911,0.000755089,2
49,k,0.0687261,0.0020143,2
50,Ux,0.0923235,0.00315323,2
50,Uy,0.169983,0.00690624,2
50,p,0.276377,0.00198309,4
50,omega,0.0326818,0.000704817,2
50,k,0.0662937,0.00196057,2
51,Ux,0.0881579,0.00310756,2
51,Uy,0.177217,0.00722244,2
51,p,0.273949,0.00192835,4
51,omega,0.0303904,0.000650532,2
51,k,0.0636943,0.00191192,2
52,Ux,0.0860231,0.00309013,2
52,Uy,0.176863,0.00730464,2
52,p,0.274916,0.00165419,4
52,omega,0.0281833,0.000607376,2
52,k,0.0623856,0.001888,2
53,Ux,0.0854474,0.00309282,2
53,Uy,0.168867,0.00699717,2
53,p,0.273693,0.0012472,4
53,omega,0.0266933,0.00056814,2
53,k,0.0615989,0.001894,2
54,Ux,0.0863139,0.00314292,2
54,Uy,0.157704,0.00654047,2
54,p,0.266213,0.00120739,4
54,omega,0.0255089,0.000541463,2
54,k,0.0621738,0.00191476,2
55,Ux,0.0876035,0.00319758,2
55,Uy,0.147602,0.00610495,2
55,p,0.25363,0.0011914,4
55,omega,0.0250055,0.000522475,2
55,k,0.0632764,0.00193878,2
56,Ux,0.0891438,0.00321083,2
56,Uy,0.1409,0.00573424,2
56,p,0.243866,0.00122918,4
56,omega,0.0249472,0.000506931,2
56,k,0.0643962,0.00195914,2
57,Ux,0.0911621,0.0031896,2
57,Uy,0.138701,0.00552735,2
57,p,0.241064,0.00126595,4
57,omega,0.0252396,0.000498298,2
57,k,0.0661018,0.00197176,2
58,Ux,0.0932286,0.00311477,2
58,Uy,0.142594,0.0053823,2
58,p,0.24096,0.00113227,4
58,omega,0.0250625,0.00049499,2
58,k,0.0676951,0.00198793,2
59,Ux,0.0935374,0.00304889,2
59,Uy,0.145289,0.0054488,2
59,p,0.232502,0.00101399,4
59,omega,0.025504,0.000501361,2
59,k,0.0703758,0.00201971,2
60,Ux,0.0918683,0.0029518,2
60,Uy,0.150017,0.00550416,2
60,p,0.232975,0.00107198,4
60,omega,0.0249019,0.00049931,2
60,k,0.0698991,0.002067,2
61,Ux,0.0864909,0.00286886,2
61,Uy,0.150716,0.00560093,2
61,p,0.228817,0.00108013,4
61,omega,0.0239876,0.000506638,2
61,k,0.0703084,0.00210916,2
62,Ux,0.0839565,0.00288076,2
62,Uy,0.150613,0.00573982,2
62,p,0.229711,0.00105662,4
62,omega,0.0230425,0.000496511,2
62,k,0.0691069,0.00213514,2
63,Ux,0.0830017,0.0028686,2
63,Uy,0.151896,0.0058167,2
63,p,0.240824,0.00106108,4
63,omega,0.0227046,0.000471224,2
63,k,0.068354,0.00217081,2
64,Ux,0.0815469,0.00270041,2
64,Uy,0.154385,0.00549794,2
64,p,0.250227,0.00112482,4
64,omega,0.022529,0.000444021,2
64,k,0.0688022,0.002185,2
65,Ux,0.0767249,0.00250844,2
65,Uy,0.153364,0.00530348,2
65,p,0.249488,0.00120724,4
65,omega,0.0209212,0.000418879,2
65,k,0.0676425,0.00216959,2
66,Ux,0.0721298,0.00236051,2
66,Uy,0.154088,0.00518236,2
66,p,0.235403,0.00116455,4
66,omega,0.0188137,0.00039247,2
66,k,0.0659455,0.00212601,2
67,Ux,0.0684194,0.00223351,2
67,Uy,0.155645,0.00508313,2
67,p,0.220985,0.00127963,4
67,omega,0.0175067,0.000363778,2
67,k,0.0641845,0.00207934,2
68,Ux,0.0659964,0.00209706,2
68,Uy,0.150417,0.00492538,2
68,p,0.211641,0.00135689,4
68,omega,0.0175142,0.000337295,2
