iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
83,-5269,-77.7412,-5457.74,-6359.29203,-3156.640197,94639.2685
84,-5285.51,-85.5274,-5429.81,-6369.978685,-3134.822267,94673.48275
85,-5251.67,-93.989,-5355,-6318.159225,-3044.628757,94765.125
86,-5154.98,-102.828,-5217.03,-6188.8862,-2871.966918,94934.13825
87,-5011.87,-112.207,-5034.06,-6002.087175,-2638.086451,95158.2765
88,-4838.17,-122.25,-4823.44,-5777.002,-2362.837412,95416.286
89,-4666.44,-132.665,-4619.36,-5553.874375,-2087.615144,95666.284
90,-4519.38,-142.965,-4448.48,-5361.108375,-1841.515602,95875.612
91,-4394.3,-152.724,-4311.73,-5195.9306,-1621.891314,96043.13075
92,-4291.27,-161.849,-4217.05,-5058.540725,-1428.932193,96159.11375
93,-4210.99,-170.17,-4177.51,-4950.0045,-1263.033782,96207.55025
94,-4144.92,-177.377,-4185.87,-4860.240175,-1112.210484,96197.30925
95,-4077.43,-183.164,-4221.14,-4770.47585,-955.2030213,96154.1035
96,-4010.42,-187.116,-4294.38,-4683.5474,-791.1282542,96064.3845
97,-3941.43,-188.745,-4395.09,-4597.039125,-612.2820638,95941.01475
98,-3862.18,-187.621,-4500.16,-4501.334775,-402.8770765,95812.304
99,-3753.83,-183.712,-4555,-4373.39455,-133.2109516,95745.125
100,-3641.78,-177.507,-4603.86,-4243.734425,171.1744336,95685.2715
101,-3556.91,-169.67,-4668.19,-4149.369,474.611841,95606.46725
102,-3478.27,-159.448,-4704.97,-4065.55695,795.072148,95561.41175
103,-3398.31,-146.357,-4694.59,-3983.642425,1125.95367,95574.12725
104,-3322.28,-130.734,-4635.79,-3909.64385,1449.068509,95646.15725
105,-3263.49,-113.403,-4539.24,-3858.856575,1737.6977,95764.431
106,-3219.23,-95.957,-4409.23,-3826.009425,1979.359117,95923.69325
107,-3191.92,-79.6687,-4268.12,-3812.507843,2157.771953,96096.553
108,-3181.64,-65.514,-4141.8,-3817.25435,2266.212738,96251.295
109,-3180.44,-54.3918,-4027.59,-3829.409045,2313.603071,96391.20225
110,-3194.93,-46.9525,-3950.84,-3856.272438,2293.202635,96485.221
111,-3209.51,-43.2115,-3882.48,-3878.715663,2226.550553,96568.962
112,-3229.64,-42.3445,-3835.55,-3904.436987,2112.137912,96626.45125
113,-3244.43,-42.9483,-3776.6,-3921.815083,1971.533802,96698.665
114,-3257.89,-43.4116,-3719.24,-3937.73604,1810.398338,96768.931
115,-3259.72,-42.4689,-3656.93,-3941.132598,1653.133833,96845.26075
116,-3249.8,-39.438,-3589.31,-3932.69345,1509.556558,96928.09525
117,-3231.61,-34.3646,-3521.7,-3916.625615,1382.279893,97010.9175
118,-3211.84,-27.6253,-3459.32,-3900.663008,1267.488566,97087.333
119,-3188.05,-19.8384,-3397.78,-3881.05921,1169.984923,97162.7195
120,-3172.39,-11.6607,-3351.18,-3871.893393,1075.2709,97219.8045
121,-3161.12,-3.75685,-3317.15,-3867.769859,987.8892382,97261.49125
122,-3152.08,3.07116,-3295.29,-3865.060171,910.9938236,97288.26975
123,-3142.91,8.37089,-3289.33,-3860.31909,848.280625,97295.57075
124,-3142.07,12.7554,-3302.75,-3864.661115,787.8823267,97279.13125
125,-3138.27,15.1525,-3332.99,-3862.942563,744.5715311,97242.08725
126,-3106.52,14.6626,-3380.79,-3823.448685,749.981967,97183.53225
127,-3078.62,13.1642,-3447.81,-3787.435645,761.4286977,97101.43275
128,-3049.47,11.0144,-3517.62,-3749.09339,783.2113026,97015.9155
129,-3024.22,8.57415,-3592.92,-3715.172834,806.752809,96923.673
130,-3003.12,6.05284,-3664.2,-3686.236729,829.9467662,96836.355
131,-2985.08,3.52312,-3732.01,-3661.038822,852.1233903,96753.28775
132,-2960.91,1.12492,-3779.73,-3628.492777,883.2775273,96694.83075
133,-2933.96,-1.10837,-3807.13,-3592.743247,917.971718,96661.26575
134,-2905.02,-3.12472,-3812.41,-3554.821718,954.7240775,96654.79775
135,-2864.49,-4.81977,-3780.99,-3503.096032,1004.379961,96693.28725
136,-2836.5,-6.227,-3734.4,-3467.084425,1037.414967,96750.36
137,-2809.01,-7.25689,-3660.18,-3432.14756,1067.988455,96841.2795
138,-2796.78,-7.88139,-3585.22,-3416.400797,1078.221466,96933.1055
139,-2793.17,-8.03657,-3515.93,-3411.788452,1076.242707,97017.98575
140,-2798.33,-7.77532,-3457.64,-3418.429483,1061.874775,97089.391
141,-2809.64,-7.07794,-3416,-3433.138523,1038.943842,97140.4
142,-2826.31,-6.06913,-3387.56,-3454.795066,1009.161536,97175.239
143,-2850.41,-4.65896,-3370.63,-3486.045024,970.2256409,97195.97825
144,-2889.07,-3.03659,-3360.99,-3535.390927,914.3987509,97207.78725
145,-2936.48,-1.39339,-3359.84,-3595.481097,849.9883374,97209.196
146,-2982.15,0.124525,-3362.86,-3653.286293,790.8692462,97205.4965
147,-3009.53,1.50939,-3356.43,-3688.523253,757.3451417,97213.37325
148,-3024.63,2.69008,-3346.85,-3708.467098,742.2835072,97225.10875
149,-3014.62,3.65535,-3318.84,-3697.387304,760.5573064,97259.421
150,-2998.89,4.38643,-3289.79,-3679.013627,787.1604564,97295.00725
151,-2983.02,4.90492,-3262.21,-3660.208027,813.7405387,97328.79275
152,-2974.91,5.05946,-3242.71,-3650.462589,829.5877905,97352.68025
153,-2969.31,4.78269,-3232.21,-3643.263545,839.7203804,97365.54275
154,-2959.66,4.12177,-3228.94,-3630.632668,851.1080248,97369.5485
155,-2943.9,3.22776,-3232.46,-3610.231506,865.5972778,97365.2365
156,-2928.04,2.1675,-3247.31,-3589.504188,875.7436756,97347.04525
157,-2913.67,0.989921,-3274.53,-3570.458403,880.5466276,97313.70075
158,-2896.42,-0.22322,-3307.86,-3547.841056,886.1420761,97272.8715
159,-2876.38,-1.38679,-3345.68,-3521.866682,893.9974367,97226.542
160,-2856.16,-2.43085,-3384.73,-3495.818209,902.077029,97178.70575
161,-2837.08,-3.31016,-3421.67,-3471.368054,909.7916865,97133.45425
162,-2817.05,-3.96368,-3449.3,-3446.030742,920.9344143,97099.6075
163,-2793.94,-4.37361,-3461.15,-3417.218828,938.5684888,97085.09125
164,-2770.65,-4.59942,-3458.06,-3388.411961,960.0896879,97088.8765
165,-2741.81,-4.64086,-3433.15,-3353.032197,992.220075,97119.39125
166,-2718.09,-4.51895,-3396.05,-3324.124536,1022.457106,97164.83875
167,-2702.34,-4.21943,-3350.84,-3305.197698,1047.044935,97220.221
168,-2689.03,-3.71245,-3296.24,-3289.513999,1072.811502,97287.106
169,-2692.24,-3.02321,-3254.45,-3294.290568,1081.819821,97338.29875
170,-2695.77,-2.08265,-3213.95,-3299.767004,1092.858284,97387.91125
171,-2703.92,-0.909951,-3184.12,-3311.18731,1099.471361,97424.453
172,-2713.85,0.393566,-3163.85,-3324.948368,1103.473838,97449.28375
173,-2725.08,1.76622,-3150.74,-3340.38662,1103.670423,97465.3435
174,-2740,3.13533,-3144.58,-3360.340779,1095.418477,97472.8895
175,-2769.82,4.35449,-3150.01,-3398.36375,1063.489112,97466.23775
176,-2825.27,5.31423,-3177.4,-3467.465682,993.9912231,97432.685
177,-2881.48,5.95235,-3209.56,-3537.104629,917.2457774,97393.289
