time,field,initial_residual,final_residual,linear_iterations
35,omega,0.0273546,0.000503535,2
35,k,0.0530834,0.0014004,2
36,Ux,0.0681503,0.00226038,2
36,Uy,0.0823417,0.00325453,2
36,p,0.219563,0.00117519,4
36,omega,0.0269917,0.000477972,2
36,k,0.0525953,0.00139779,2
37,Ux,0.0677533,0.00220361,2
37,Uy,0.0820505,0.00325708,2
37,p,0.219385,0.00100133,4
37,omega,0.0268661,0.000458444,2
37,k,0.0521011,0.00138656,2
38,Ux,0.0672627,0.00214515,2
38,Uy,0.082376,0.00327273,2
38,p,0.22011,0.00103495,4
38,omega,0.0268939,0.000441353,2
38,k,0.0514181,0.00137113,2
39,Ux,0.0662419,0.00209328,2
39,Uy,0.0835875,0.00330536,2
39,p,0.223179,0.00104479,4
39,omega,0.0271499,0.000427169,2
39,k,0.0510223,0.00135244,2
40,Ux,0.0652154,0.00205258,2
40,Uy,0.0847591,0.00333124,2
40,p,0.226485,0.00104697,4
40,omega,0.0276621,0.000417004,2
40,k,0.0509205,0.00133158,2
41,Ux,0.0644784,0.00203486,2
41,Uy,0.0860148,0.0033296,2
41,p,0.230898,0.00100223,4
41,omega,0.0287025,0.00041707,2
41,k,0.0507109,0.00131871,2
42,Ux,0.0638979,0.00202639,2
42,Uy,0.087156,0.00332425,2
42,p,0.234616,0.00108408,4
42,omega,0.0300307,0.000420967,2
42,k,0.050893,0.00131158,2
43,Ux,0.0637803,0.00202751,2
43,Uy,0.0876333,0.00333526,2
43,p,0.239937,0.0012354,4
43,omega,0.0311562,0.000422681,2
43,k,0.0507502,0.00130743,2
44,Ux,0.063656,0.00203055,2
44,Uy,0.0878848,0.003354,2
44,p,0.242013,0.00120257,4
44,omega,0.031779,0.000428974,2
44,k,0.0507309,0.00130101,2
45,Ux,0.0639338,0.00205131,2
45,Uy,0.0880282,0.00336506,2
45,p,0.241049,0.00101741,4
45,omega,0.0316738,0.00043905,2
45,k,0.0506532,0.00129661,2
46,Ux,0.0641066,0.00206395,2
46,Uy,0.0883986,0.00340885,2
46,p,0.238407,0.000819576,4
46,omega,0.0315176,0.000440314,2
46,k,0.0498807,0.00130557,2
47,Ux,0.064345,0.00208767,2
47,Uy,0.0887653,0.00343078,2
47,p,0.234603,0.000769042,4
47,omega,0.0309071,0.000440174,2
47,k,0.0500227,0.00130813,2
48,Ux,0.0644104,0.00210943,2
48,Uy,0.0894643,0.00344937,2
48,p,0.231071,0.000905078,4
48,omega,0.0300462,0.000440688,2
48,k,0.0496018,0.00132768,2
