iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
1,-95695.3,-2555.25,-67452.8,-114096.5613,-112473.7972,18695.32
2,-58377.8,-3111.6,103612,-67701.095,-63768.03808,228249.7
3,6283.16,-2611.12,84739.7,10895.493,16411.58902,205131.1325
4,76786.1,-1446.56,1588.73,95835.0085,102095.2016,103271.1943
5,112719,-230.552,-58787.8,138363.2012,144733.2982,29309.945
6,105001,706.959,-74605.5,127760.2002,133779.5879,9933.2625
7,64997.4,1128.72,-94405.5,78239.133,83664.13985,-14321.7375
8,21999,1132.22,-97967.6,25561.8055,30395.53708,-18685.31
9,-31121,822.237,-116002,-39130.46533,-34809.78241,-40777.45
10,-71102.7,301.832,-137189,-87470.5517,-83380.54233,-66731.525
11,-86585.1,-117.714,-142168,-105922.5479,-101789.5125,-72830.8
12,-75378.8,-405.869,-126220,-91841.84048,-87474.32096,-53294.5
13,-48663.2,-469.14,-98363.6,-59037.7235,-54397.86803,-19170.41
14,-15687.5,-405.334,-66341.8,-18720.65335,-13845.91773,20056.295
15,14775.1,-242.851,-40316.9,18396.98998,23404.83626,51936.7975
16,36448.3,-60.4999,-23038,44723.27988,49758.80043,73103.45
17,45441.1,95.8948,-15494.8,55547.87637,60520.23871,82343.87
18,43124.2,169.901,-14712.3,52619.01628,57491.19886,83302.4325
19,33421.5,174.407,-16823.7,40727.68893,45497.82353,80715.9675
20,21100.2,133.623,-18573.5,25684.05683,30375.49724,78572.4625
21,9896.13,87.4315,-18364.8,12015.65566,16657.00854,78828.12
22,1626.69,19.0316,-15612.5,1969.38154,6605.997302,82199.6875
23,-2651.71,-40.5119,-10795.2,-3198.717673,1466.569009,88100.88
24,-3658.93,-59.9341,-3806.03,-4408.769978,294.4749664,96662.61325
25,-3216.22,-56.5851,3333.86,-3870.552753,866.2094608,105408.9785
26,-2442.73,-44.0508,9481.29,-2938.38202,1823.597648,112939.5802
27,-1382.36,-28.8035,13840.2,-1658.106712,3121.010444,118279.245
28,-434.155,-2.119,16197.9,-529.2441,4249.659381,121167.4275
29,-9.54009,18.584,15800.4,-34.45201025,4732.342749,120680.49
30,-216.83,30.8283,13091.3,-303.3814175,4444.084535,117361.8425
31,-904.819,33.477,8986.21,-1149.4126,3577.797591,112333.1073
32,-1650.24,31.0002,4652.44,-2059.519245,2649.432074,107024.239
33,-2526.65,25.2513,543.813,-3126.079093,1567.333317,101991.1709
34,-3460.49,17.7581,-2744.56,-4260.853923,421.2783389,97962.914
35,-4461.92,8.85452,-4993.71,-5476.698787,-800.3434881,95207.70525
36,-5238.62,0.836912,-6258.89,-6418.334717,-1742.062696,93657.85975
37,-5586.54,-4.14107,-6537.21,-6838.438689,-2159.059022,93316.91775
38,-5632.17,-6.16469,-6289.09,-6891.856505,-2208.642259,93620.86475
39,-5535.28,-6.18898,-5881.11,-6773.1365,-2086.712103,94120.64025
40,-5349.77,-4.79734,-5446.17,-6547.591509,-1858.75811,94653.44175
41,-5034.5,-1.81364,-4979.17,-6165.040791,-1475.484546,95225.51675
42,-4686.32,1.8539,-4579.88,-5743.013028,-1054.878647,95714.647
43,-4395.27,5.09568,-4337.94,-5390.447958,-705.4116282,96011.0235
44,-4142.11,7.88067,-4213.55,-5083.738571,-403.2062962,96163.40125
45,-3957,9.99404,-4192.8,-4859.567699,-184.5949951,96188.82
46,-3851.09,11.2708,-4256.88,-4731.39198,-62.73974669,96110.322
47,-3819.58,11.9847,-4375.08,-4693.666758,-31.5509719,95965.527
48,-3958.84,11.8588,-4593.73,-4864.10603,-209.0444716,95697.68075
49,-4297.85,10.1809,-4962.83,-5277.337853,-628.4359138,95245.53325
50,-4650.64,7.77125,-5327.09,-5706.553781,-1062.428911,94799.31475
51,-4941.99,5.42894,-5621.5,-6060.588201,-1419.916253,94438.6625
52,-5133.38,3.65212,-5820.17,-6292.864347,-1654.496663,94195.29175
53,-5208.15,2.89989,-5898.43,-6383.536115,-1747.215145,94099.42325
54,-5247.57,2.62669,-5938.84,-6431.490945,-1797.065177,94049.921
55,-5278.32,2.74129,-5961.78,-6469.30008,-1836.780122,94021.8195
56,-5306.26,3.12208,-5970.52,-6503.993048,-1873.541648,94011.113
57,-5312.07,3.62975,-5947.91,-6511.732194,-1883.699902,94038.81025
58,-5269.9,4.142,-5880.25,-6460.70145,-1835.322418,94121.69375
59,-5140.24,4.63554,-5756.1,-6302.472537,-1679.950777,94273.7775
60,-4993.5,5.08064,-5624.84,-6123.261284,-1503.613481,94434.571
61,-4888.36,5.35993,-5524.92,-5994.806914,-1378.2833,94556.973
62,-4795.63,5.62294,-5442.46,-5881.534852,-1268.071624,94657.9865
63,-4722.72,5.78999,-5377.9,-5792.424738,-1182.014193,94737.0725
64,-4673.25,5.87229,-5331.29,-5731.924805,-1124.458154,94794.16975
65,-4649.09,5.81705,-5302.42,-5702.261136,-1097.498093,94829.5355
66,-4646.09,5.69001,-5287.2,-5698.430512,-1095.989263,94848.18
67,-4657.68,5.34898,-5280.09,-5712.210501,-1111.329309,94856.88975
68,-4671.37,4.85233,-5271.59,-5728.372354,-1128.391771,94867.30225
69,-4669.1,4.251,-5246.19,-5724.854975,-1124.767048,94898.41725
70,-4606.37,3.44324,-5170.32,-5647.021219,-1045.744123,94991.358
71,-4539.77,3.01953,-5090.46,-5564.917174,-961.190673,95089.1865
72,-4482.64,2.93667,-5019.73,-5494.831421,-887.6586363,95175.83075
73,-4451.09,3.06701,-4972.9,-5456.342337,-844.7820162,95233.1975
74,-4443.3,3.22436,-4949.23,-5446.992341,-830.1284997,95262.19325
75,-4448.09,3.27092,-4938.69,-5452.917127,-829.7980887,95275.10475
76,-4459.3,3.13391,-4935.59,-5466.48154,-836.1907358,95278.90225
77,-4474.62,2.816,-4938.41,-5484.8591,-846.5548311,95275.44775
78,-4493.24,2.34114,-4945.83,-5507.086897,-860.1022753,95266.35825
79,-4508.77,1.67924,-4950.63,-5525.300319,-869.2018424,95260.47825
80,-4519.87,0.881748,-4951.16,-5537.920891,-872.4799798,95259.829
81,-4529.64,-0.0837759,-4950.41,-5548.706375,-874.3272825,95260.74775
82,-4538.34,-1.13365,-4948.27,-5558.077779,-875.4843124,95263.36925
83,-4556.97,-2.29027,-4954.78,-5579.482669,-889.811864,95255.3945
84,-4597.71,-3.50553,-4981.55,-5627.900476,-932.5738523,95222.60125
85,-4660.11,-4.60789,-5029.28,-5702.990085,-1004.184186,95164.132
86,-4735.02,-5.61087,-5090.44,-5793.526184,-1093.611442,95089.211
87,-4814.05,-6.5639,-5156.17,-5889.170473,-1190.74999,95008.69175
88,-4885.01,-7.53014,-5214.2,-5974.912829,-1280.715224,94937.605
89,-4941.21,-8.52185,-5258.63,-6042.542984,-1355.275618,94883.17825
90,-4982.33,-9.55566,-5289.4,-6091.648567,-1413.900952,94845.485
91,-5014.54,-10.6498,-5311.95,-6129.765495,-1463.931774,94817.86125
92,-5040.63,-11.8546,-5328.38,-6160.249865,-1508.419996,94797.7345
93,-5057.22,-13.1377,-5335.24,-6179.000818,-1542.961252,94789.331
94,-5061.43,-14.4335,-5330,-6182.570713,-1563.794002,94795.75
95,-5056.21,-15.6873,-5316.1,-6174.640308,-1574.30417,94812.7775
96,-5044.63,-16.906,-5296.86,-6158.9619,-1578.104881,94836.3465
97,-5027.36,-18.0078,-5272.6,-6136.456445,-1575.595801,94866.065
98,-5009.16,-18.9977,-5247.26,-6112.948818,-1572.509496,94897.1065
99,-4991.93,-19.877,-5222.41,-6090.764925,-1570.961044,94927.54775
100,-4975.6,-20.6725,-5198.04,-6069.786188,-1570.649869,94957.401
101,-4961,-21.4228,-5175.33,-6050.98207,-1572.35145,94985.22075
102,-4947.67,-22.1124,-5154.24,-6033.80806,-1575.356373,95011.056
103,-4934.88,-22.7502,-5134.39,-6017.359005,-1578.624695,95035.37225
104,-4920.46,-23.325,-5114.26,-5998.990375,-1579.407677,95060.0315
105,-4909.67,-23.7764,-5100.55,-5985.21966,-1584.191457,95076.82625
106,-4909.72,-24.0885,-5099.59,-5984.898588,-1601.806776,95078.00225
107,-4916.05,-24.3564,-5104.24,-5992.32466,-1626.519477,95072.306
108,-4924.77,-24.6193,-5109.79,-6002.684608,-1653.515939,95065.50725
109,-4934.13,-24.849,-5115.09,-6013.869225,-1680.624111,95059.01475
110,-4938.92,-25.0273,-5115.52,-6019.518558,-1701.504231,95058.488
111,-4938.33,-25.1337,-5111.11,-6018.665467,-1715.282588,95063.89025
112,-4931.13,-25.1529,-5101.19,-6009.821948,-1720.577013,95076.04225
113,-4916.31,-25.0514,-5084.98,-5991.791785,-1716.30786,95095.8995
114,-4896.54,-24.8829,-5065.13,-5967.779948,-1705.754244,95120.21575
115,-4874.01,-24.6664,-5043.61,-5940.44591,-1691.650127,95146.57775
116,-4850.29,-24.4249,-5021.8,-5911.684748,-1675.954624,95173.295
117,-4828.41,-24.1935,-5002.64,-5885.165213,-1662.368653,95196.766
118,-4810.98,-23.9905,-4988.47,-5864.062138,-1654.10956,95214.12425
119,-4798.66,-23.8205,-4979.81,-5849.178388,-1652.022665,95224.73275
120,-4790.35,-23.6699,-4975.28,-5839.183123,-1654.776893,95230.282
121,-4785.46,-23.5866,-4973.71,-5833.294915,-1661.622373,95232.20525
122,-4780.47,-23.6039,-4971.21,-5827.160973,-1668.173766,95235.26775
123,-4773.23,-23.7868,-4965.63,-5818.06792,-1671.684901,95242.10325
