time,field,initial_residual,final_residual,linear_iterations
1,Ux,1,0.0375854,6
1,Uy,1,0.0510584,5
1,p,1,0.00750935,9
1,omega,0.126828,0.00661177,1
1,k,1,0.0146054,2
2,Ux,0.233463,0.00143139,2
2,Uy,0.292066,0.0183489,1
2,p,0.201025,0.00171402,8
2,omega,0.158952,0.0116662,1
2,k,0.476754,0.00873403,2
3,Ux,0.356869,0.0111704,2
3,Uy,0.317321,0.00929957,2
3,p,0.113464,0.000907577,7
3,omega,0.130365,0.0113418,1
3,k,0.422137,0.00695969,2
4,Ux,0.373835,0.00775944,2
4,Uy,0.257465,0.0071003,2
4,p,0.125418,0.000720491,12
4,omega,0.127659,0.0117996,1
4,k,0.316187,0.00544905,2
5,Ux,0.2309,0.00705595,2
5,Uy,0.187824,0.00526099,2
5,p,0.252642,0.00187278,10
5,omega,0.130765,0.0021561,2
5,k,0.284464,0.00596241,2
6,Ux,0.159591,0.00507119,2
6,Uy,0.151576,0.0050476,2
6,p,0.379665,0.00371759,8
6,omega,0.129048,0.0109138,1
6,k,0.282901,0.00359885,2
7,Ux,0.144111,0.00302481,2
7,Uy,0.163892,0.00455073,2
7,p,0.285317,0.00135095,8
7,omega,0.120149,0.00572737,1
7,k,0.291638,0.0235782,1
8,Ux,0.186012,0.0184753,1
8,Uy,0.206401,0.0034943,2
8,p,0.263999,0.00188639,6
8,omega,0.126696,0.00763079,1
8,k,0.252812,0.0217565,1
9,Ux,0.188316,0.00292463,2
9,Uy,0.205091,0.00391619,2
9,p,0.283442,0.00256155,6
9,omega,0.113613,0.00617227,1
9,k,0.204949,0.0156218,1
10,Ux,0.179086,0.00340594,2
10,Uy,0.211816,0.00421903,2
10,p,0.291537,0.00248605,7
10,omega,0.0947344,0.00591721,1
10,k,0.156786,0.0121247,1
11,Ux,0.17202,0.00351671,2
11,Uy,0.205475,0.00479151,2
11,p,0.356283,0.00295303,7
11,omega,0.0699641,0.00531594,1
11,k,0.128622,0.0108562,1
12,Ux,0.144415,0.00303252,2
12,Uy,0.195955,0.0055635,2
12,p,0.244294,0.001345,8
12,omega,0.0678985,0.00515992,1
12,k,0.121354,0.0110357,1
13,Ux,0.121818,0.00256246,2
13,Uy,0.164212,0.00441864,2
13,p,0.221193,0.00175294,8
13,omega,0.059863,0.00421503,1
13,k,0.116771,0.01088,1
14,Ux,0.108769,0.00223081,2
14,Uy,0.1321,0.00324311,2
14,p,0.211371,0.00129627,7
14,omega,0.0414607,0.00361198,1
14,k,0.0854176,0.00111866,2
15,Ux,0.0942235,0.00256221,2
15,Uy,0.109724,0.0029168,2
15,p,0.223573,0.00201667,6
15,omega,0.0376427,0.00362776,1
15,k,0.0711479,0.0010713,2
16,Ux,0.0791456,0.00245743,2
16,Uy,0.0918417,0.00264255,2
16,p,0.257067,0.0017609,8
16,omega,0.0364955,0.000619322,2
16,k,0.0588349,0.00100887,2
17,Ux,0.0683345,0.00232244,2
17,Uy,0.0826721,0.00247985,2
17,p,0.276239,0.00227344,7
17,omega,0.0348003,0.000690083,2
17,k,0.0571842,0.00110155,2
18,Ux,0.0638782,0.00218257,2
18,Uy,0.0792729,0.00244379,2
18,p,0.215928,0.000836796,8
18,omega,0.0340808,0.000726331,2
18,k,0.0598493,0.00123506,2
19,Ux,0.0656955,0.00223418,2
19,Uy,0.0761901,0.00249112,2
19,p,0.198277,0.00115292,6
19,omega,0.0328063,0.000724191,2
19,k,0.0610132,0.00131994,2
20,Ux,0.0644582,0.00223513,2
20,Uy,0.0725705,0.00258277,2
20,p,0.200087,0.00102677,6
20,omega,0.0325146,0.000701447,2
20,k,0.0603085,0.00135317,2
21,Ux,0.0610813,0.00213743,2
21,Uy,0.0717418,0.00269711,2
21,p,0.228219,0.00206429,6
21,omega,0.0296711,0.000665246,2
21,k,0.0594105,0.00135905,2
22,Ux,0.0590242,0.00202001,2
22,Uy,0.0727648,0.00276265,2
22,p,0.27627,0.00184281,7
