iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
1,-14385.6,-1085.16,6277.24,-16293.039,-14559.11233,109014.619
2,155387,-1250.54,306167,191880.9865,196008.4277,476379.575
3,333001,-1011.47,292264,409165.2757,414848.9518,459348.4
4,424190,-560.067,138825,520318.8321,526715.2154,271385.625
5,384531,-81.3678,11401,471150.1506,477600.5738,115291.225
6,250186,273.163,-108777,306143.2253,312207.8205,-31926.825
7,35792.3,436.74,-223839,43310.561,48714.62028,-172877.775
8,-138771,419.406,-314561,-170508.2473,-165756.7749,-284012.225
9,-271575,286.65,-328203,-333030.5213,-328756.65,-300723.675
10,-298056,112.621,-249869,-365256.5607,-361173.9392,-204764.525
11,-297417,-46.142,-161850,-364279.3011,-360123.9524,-96941.25
12,-241441,-143.79,-95830.9,-295589.0823,-291207.1757,-16067.8525
13,-150041,-167.205,-50359.6,-183595.3989,-178923.2851,39634.49
14,-71989.3,-136.258,-34626.7,-88019.97645,-83131.36095,58907.2925
15,-10798.8,-79.1354,-34184.1,-13131.58914,-8118.197453,59449.4775
16,23183.1,-13.2867,-48681.7,28415.57371,33438.23947,41689.9175
17,47290.4,39.5659,-54121.1,57882.27177,62823.91598,35026.6525
18,59437,70.2064,-54147.6,72724.32216,77537.72201,34994.19
19,58474.5,66.9709,-57929,71549.22315,76260.20766,30361.975
20,55176.5,47.5511,-54441.6,67532.9624,72154.42135,34634.04
21,44143.5,18.9321,-56857.2,54052.59568,58628.90875,31674.93
22,35262.4,-9.32569,-49160.4,43207.86397,47786.0509,41103.51
23,26579.6,-24.6876,-39036.1,32590.25231,37202.69867,53505.7775
24,19738.7,-29.1427,-26453.5,24215.60731,28872.15693,68919.4625
25,14187.4,-22.1879,-14376,17406.74518,22106.50922,83714.4
26,9552.62,-11.5206,-4035.15,11716.07224,16442.81244,96381.94125
27,6195.5,1.43579,4541,7587.728657,12319.86114,106887.725
28,2266.42,13.9627,11371.4,2759.260193,7482.432464,115254.965
29,229.745,21.3033,12065.7,255.3410825,4960.218294,116105.4825
30,-4607.74,21.9141,8011.91,-5671.326273,-986.180972,111139.5897
31,-8709.45,16.9233,2305.58,-10689.80729,-6016.883175,104149.3355
32,-12592.2,10.0258,-3808.43,-15437.72661,-10772.39221,96659.67325
33,-15877.4,3.16825,-9104.26,-19453.69611,-14795.21489,90172.2815
34,-17935.4,-2.44441,-12746.6,-21967.8706,-17319.33001,85710.415
35,-18558.3,-5.48218,-14538.7,-22727.20183,-18093.50764,83515.0925
36,-17471.1,-9.91978,-13979.6,-21389.94577,-16789.80054,84199.99
37,-15055.2,-12.8668,-11877.4,-18426.85817,-13869.71265,86775.185
38,-12001.2,-14.8195,-9009.81,-14683.31611,-10181.5249,90287.98275
39,-9243.35,-16.6334,-6401.4,-11302.72783,-6869.097301,93483.285
40,-7640.45,-18.7451,-4856.41,-9336.588503,-4983.576262,95375.89775
41,-6931.27,-21.8655,-4157.35,-8464.020513,-4202.887285,96232.24625
42,-6690.15,-25.0549,-3902.26,-8164.741498,-3999.646221,96544.7315
43,-6606.4,-29.0004,-3957.69,-8057.31451,-3990.195389,96476.82975
44,-7287.79,-33.9461,-4748.54,-8885.958777,-4918.723716,95508.0385
45,-8080.01,-37.9942,-5700.4,-9851.469355,-5984.142544,94342.01
46,-8671.64,-40.9031,-6497.58,-10572.6527,-6803.076089,93365.4645
47,-8781.67,-42.8322,-6844.82,-10705.07631,-7027.530047,92940.0955
48,-8669.36,-44.1496,-7033.39,-10565.88274,-6976.316087,92709.09725
49,-8493.56,-45.2267,-7117.47,-10349.20829,-6842.774954,92606.09925
50,-8079.79,-45.498,-6917.3,-9842.0077,-6413.04341,92851.3075
51,-7285.9,-45.642,-6394.67,-8869.31605,-5509.288764,93491.52925
52,-6495.12,-45.2758,-5904.52,-7901.059145,-4601.102899,94091.963
53,-5826.33,-44.4592,-5553.8,-7082.79173,-3834.157513,94521.595
54,-5320.09,-43.6598,-5351.75,-6463.626995,-3257.311344,94769.10625
55,-5002.01,-42.7953,-5293.32,-6075.038008,-2901.693418,94840.683
56,-4921.86,-41.7838,-5406.19,-5978.093345,-2828.070041,94702.41725
57,-4974.94,-41.1924,-5583.78,-6043.84081,-2907.153821,94484.8695
58,-5064.88,-40.3098,-5732.65,-6155.098495,-3022.473463,94302.50375
