time,field,initial_residual,final_residual,linear_iterations
1,Ux,1,0.0613769,5
1,Uy,1,0.0288544,5
1,p,1,0.0090366,7
1,omega,0.293,0.0129821,1
1,k,1,0.00860225,2
2,Ux,0.276809,0.00102783,2
2,Uy,0.351983,0.0221655,1
2,p,0.426128,0.00203857,8
2,omega,0.196128,0.0180363,1
2,k,0.38361,0.00909205,2
3,Ux,0.352988,0.0120527,2
3,Uy,0.310915,0.00885214,2
3,p,0.373484,0.00285432,7
3,omega,0.170365,0.00281665,2
3,k,0.346981,0.00947817,2
4,Ux,0.323775,0.0118959,2
4,Uy,0.248784,0.00590466,2
4,p,0.248931,0.00155334,7
4,omega,0.158704,0.00248873,2
4,k,0.338617,0.00822649,2
5,Ux,0.249052,0.00901629,2
5,Uy,0.188505,0.00438061,2
5,p,0.253926,0.00218137,6
5,omega,0.174388,0.00304564,2
5,k,0.351199,0.00609621,2
6,Ux,0.230659,0.00639759,2
6,Uy,0.194849,0.00440396,2
6,p,0.305991,0.00300363,6
6,omega,0.18097,0.0162378,1
6,k,0.340566,0.0334597,1
7,Ux,0.156088,0.00378704,2
7,Uy,0.191187,0.00349435,2
7,p,0.306327,0.00264501,7
7,omega,0.156299,0.00971974,1
7,k,0.264161,0.0164018,1
8,Ux,0.171541,0.0144625,1
8,Uy,0.213638,0.01899,1
8,p,0.424358,0.00398747,7
8,omega,0.14874,0.00940785,1
8,k,0.238938,0.0177597,1
9,Ux,0.169009,0.0140409,1
9,Uy,0.259214,0.0166819,1
9,p,0.324952,0.0016698,7
9,omega,0.12272,0.00847798,1
9,k,0.187171,0.0126618,1
10,Ux,0.185191,0.017184,1
10,Uy,0.244013,0.020812,1
10,p,0.221898,0.00094523,6
10,omega,0.114309,0.00654438,1
10,k,0.149102,0.00888475,1
11,Ux,0.200291,0.0149152,1
11,Uy,0.232545,0.0200984,1
11,p,0.18617,0.000718626,7
11,omega,0.0946698,0.00561164,1
11,k,0.138342,0.00893485,1
12,Ux,0.201084,0.0199064,1
12,Uy,0.200951,0.0180445,1
12,p,0.185962,0.00161338,6
12,omega,0.0835254,0.0062549,1
12,k,0.124967,0.0084212,1
13,Ux,0.190087,0.00327731,2
13,Uy,0.16932,0.0022332,2
13,p,0.21664,0.00160985,6
13,omega,0.0960056,0.00705571,1
13,k,0.130814,0.00880619,1
14,Ux,0.224255,0.0206384,1
14,Uy,0.19181,0.0138904,1
14,p,0.303542,0.0018799,6
14,omega,0.121775,0.0068921,1
14,k,0.131927,0.00975922,1
15,Ux,0.191178,0.0021344,2
15,Uy,0.178496,0.0026068,2
15,p,0.303591,0.00202687,5
