time,field,initial_residual,final_residual,linear_iterations
1,Ux,1,0.0868423,5
1,Uy,1,0.095696,4
1,p,1,0.00915391,10
1,omega,0.0398571,0.00133192,2
1,k,1,0.0538305,2
2,Ux,0.619883,0.0412355,2
2,Uy,0.212582,0.0148656,2
2,p,0.0159752,8.14846e-05,8
2,omega,0.0745231,0.00151679,2
2,k,0.570654,0.021091,2
3,Ux,0.517162,0.0345773,2
3,Uy,0.16458,0.011717,2
3,p,0.00799823,2.55552e-05,6
3,omega,0.252988,0.0177599,1
3,k,0.439913,0.0167996,1
4,Ux,0.404564,0.0264121,2
4,Uy,0.114504,0.0079491,2
4,p,0.00872985,7.10765e-05,10
4,omega,0.204754,0.00137117,1
4,k,0.143961,0.00760841,1
5,Ux,0.240193,0.0154322,2
5,Uy,0.0688258,0.00469387,2
5,p,0.0155257,0.000124391,12
5,omega,0.0611241,0.00124583,1
5,k,0.0899958,0.00532299,1
6,Ux,0.0678225,0.00394402,2
6,Uy,0.0342308,0.00203104,2
6,p,0.0615548,0.000608645,14
6,omega,0.0174019,0.000946091,1
6,k,0.103582,0.00542552,1
7,Ux,0.139381,0.00840934,2
7,Uy,0.0262911,0.00116607,2
7,p,0.0283334,0.000268849,12
7,omega,0.0159663,0.000883803,1
7,k,0.0751883,0.00410152,1
8,Ux,0.245338,0.0154915,2
8,Uy,0.0506044,0.00276876,2
8,p,0.0136945,0.000106602,7
8,omega,0.0100835,0.000783485,1
8,k,0.0621175,0.00344448,1
9,Ux,0.282263,0.0179125,2
9,Uy,0.0619571,0.00361422,2
9,p,0.0122721,8.70398e-05,9
9,omega,0.00921833,0.000716688,1
9,k,0.0528871,0.00326874,1
10,Ux,0.249501,0.0156976,2
10,Uy,0.0589226,0.00343808,2
10,p,0.0158757,0.000113442,12
10,omega,0.012992,0.00073848,1
10,k,0.0425017,0.0030575,1
11,Ux,0.150446,0.00920515,2
11,Uy,0.0444892,0.00243836,2
11,p,0.029002,0.000256495,14
11,omega,0.0162022,0.000804066,1
11,k,0.0322733,0.00277611,1
12,Ux,0.0236324,0.00075244,2
12,Uy,0.0270309,0.00113798,2
12,p,0.394342,0.00359695,14
12,omega,0.0179233,0.000895478,1
12,k,0.031211,0.00267306,1
13,Ux,0.0936893,0.00562911,2
13,Uy,0.0307704,0.00156136,2
13,p,0.035072,0.000307155,9
13,omega,0.0169551,0.000990991,1
13,k,0.0296043,0.00260418,1
14,Ux,0.11848,0.007442,2
14,Uy,0.0339144,0.00195674,2
14,p,0.0238461,0.000163613,6
14,omega,0.0157098,0.0010388,1
14,k,0.0279231,0.00260129,1
15,Ux,0.107049,0.00679237,2
15,Uy,0.0314369,0.00189452,2
15,p,0.0233733,0.000233548,9
15,omega,0.0148231,0.00110733,1
15,k,0.025303,0.000384957,2
16,Ux,0.0743097,0.00466595,2
16,Uy,0.0251861,0.00151797,2
16,p,0.0317299,0.000218292,9
16,omega,0.0135349,0.00117911,1
16,k,0.0239579,0.000389058,2
17,Ux,0.032802,0.00190069,2
17,Uy,0.0191145,0.0011029,2
17,p,0.0728423,0.000565572,10
17,omega,0.0128177,0.00122049,1
17,k,0.0234402,0.000402411,2
18,Ux,0.0203651,0.00108891,2
18,Uy,0.0156163,0.000860636,2
18,p,0.103334,0.000954363,7
18,omega,0.0126241,0.000177619,2
18,k,0.0231713,0.000426914,2
19,Ux,0.0444973,0.00276297,2
19,Uy,0.0147471,0.000798424,2
19,p,0.0438386,0.000258718,6
19,omega,0.0118764,0.000184397,2
19,k,0.0235004,0.000461484,2
20,Ux,0.052464,0.00333304,2
20,Uy,0.0150205,0.000817901,2
20,p,0.0348454,0.000299554,7
20,omega,0.0116077,0.000196136,2
20,k,0.0244616,0.000504002,2
21,Ux,0.0457351,0.00290104,2
21,Uy,0.0144722,0.000786852,2
21,p,0.0373032,0.000174551,6
21,omega,0.0115566,0.000209469,2
21,k,0.0246916,0.000553812,2
22,Ux,0.0286787,0.00176119,2
22,Uy,0.013712,0.000747852,2
22,p,0.056338,0.00051415,8
22,omega,0.0112804,0.00022276,2
22,k,0.0240317,0.000598235,2
23,Ux,0.0115764,0.000604516,2
23,Uy,0.0135811,0.000763043,2
23,p,0.155732,0.00136759,7
23,omega,0.0108811,0.000235021,2
23,k,0.02389,0.000636348,2
24,Ux,0.0171301,0.000986581,2
24,Uy,0.013794,0.000799725,2
24,p,0.0928332,0.000860688,7
24,omega,0.0107203,0.000247583,2
24,k,0.0231805,0.000669056,2
25,Ux,0.0226157,0.00137026,2
25,Uy,0.013961,0.00081634,2
25,p,0.0600668,0.000327683,6
25,omega,0.0106136,0.000258551,2
25,k,0.02215,0.000695788,2
26,Ux,0.022811,0.00139879,2
26,Uy,0.0137703,0.000802826,2
26,p,0.0579241,0.000556285,6
