iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
1,-1258360,-22168.8,-1294900,-1514334.22,-1512664.345,-1484927.5
2,-1628580,-28574.6,-1681040,-1960006.615,-1956214.538,-1957949
3,-1412400,-24700.2,-1460540,-1699932.255,-1694643.379,-1687836.5
4,-858651,-14953.6,-892664,-1033529.315,-1027490.597,-992188.4
5,-187954,-3285.53,-204828,-226218.8758,-220061.4795,-149589.3
6,337131,5793.41,334537,405888.5478,411723.1486,511132.825
7,605097,10275.1,610630,728656.8275,733923.7341,849346.75
8,627821,10935.9,635672,755684.2475,760319.996,880023.2
9,474669,8492.08,479989,571066.727,575201.2602,689311.525
10,233399,4473.97,234059,280433.1618,284316.1987,388047.275
11,4038.94,603.332,-75.9671,4208.6198,8090.143485,101231.9403
12,-155901,-2080.17,-163448,-188430.5168,-184384.2253,-98898.8
13,-224431,-3318.52,-233310,-270862.788,-266592.6769,-184479.75
14,-212088,-2949.87,-220573,-256194.2093,-251738.3488,-168876.925
15,-143939,-1661.94,-151285,-174289.3985,-169734.7426,-83999.125
16,-53123.4,-32.268,-59445.3,-65036.6367,-60480.46919,28504.5075
17,24987.5,1336.45,19628.1,28972.53625,33451.95909,125369.4225
18,72848.1,2263.11,68023.5,86466.61275,90821.27368,184653.7875
19,85786.3,2411.67,81116.9,102133.9218,106358.9317,200693.2025
20,72506.5,2140.78,67651.9,86198.007,90313.82995,184198.5775
21,41204.1,1615.72,36238,48495.7655,52536.1621,145716.55
22,7754.61,1085.11,2777.51,8170.1375,12168.77648,104727.4497
23,-19448,630.102,-24172.7,-24595.67495,-20612.58765,71713.4425
24,-33401.6,496.343,-37729.7,-41524.98018,-37549.78468,55106.1175
25,-35518.1,553.471,-39246.6,-44187.67447,-40224.39092,53247.915
26,-30218.5,701.416,-33170.5,-37876.8971,-33935.62338,60691.1375
27,-18903.3,916.716,-21151.2,-24279.5196,-20373.1836,75414.78
28,-6510.68,1124.81,-8303.57,-9353.47525,-5493.594964,91153.12675
29,3299.39,1269.83,1736.15,2486.211,6292.712507,103451.7838
30,9059.75,1338.04,7553.29,9459.09475,13209.80412,110577.7802
31,10730.5,1339.27,9107.21,11504.25675,15201.30569,112481.3323
32,8979.22,1288.73,7221.14,9420.85025,13069.0631,110170.8965
33,5214.71,1236.67,3314.39,4873.099,8477.134571,105385.1277
34,1093.49,1199.64,-810.643,-130.03375,3433.046223,100331.9623
35,-2046.06,1173.19,-3939.32,-3943.58125,-419.0960342,96499.333
36,-3402.57,1178.89,-5210.66,-5612.2885,-2126.115432,94941.9415
37,-3330.8,1209.7,-5005.73,-5562.1125,-2115.204954,95192.98075
38,-2442.02,1244.77,-3946.87,-4516.31775,-1109.753457,96490.08425
39,-964.046,1290.67,-2281.39,-2762.0271,602.766822,98530.29725
40,565.021,1335.75,-551.484,-944.143025,2377.317186,100649.4321
41,1748.55,1374.24,790.738,458.52975,3735.913496,102293.654
42,2765.66,1421.34,1918.01,1646.792,4879.262506,103674.5623
43,3122.18,1450.8,2355.52,2047.4405,5234.962534,104210.512
44,3068.23,1478.02,2330.41,1948.00725,5090.796119,104179.7523
45,2535.15,1499.89,1851.08,1268.1935,4366.806483,103592.573
46,2046.55,1525.4,1398.8,638.40875,3693.114351,103038.53
47,1573.07,1554.23,943.588,23.079,3033.947962,102480.8953
48,1122.45,1584.31,492.272,-565.7785,2401.180477,101928.0332
49,741.202,1617.73,102.83,-1073.7468,1849.273498,101450.9668
50,766.553,1656.98,54.9641,-1090.773075,1787.879532,101392.331
51,940.218,1702.44,155.325,-933.72195,1899.802598,101515.2731
52,1254.67,1749.06,383.137,-605.62775,2182.614161,101794.3428
53,1520.23,1799.59,558.616,-342.216,2400.342893,102009.3046
54,1774.8,1848.36,735.432,-90.111,2606.53412,102225.9042
55,2012.41,1890.36,911.278,149.51125,2800.454752,102441.3155
56,2267.92,1927.08,1121.29,417.529,3023.099074,102698.5802
57,2328.08,1964.02,1136.78,445.9735,3006.628141,102717.5555
58,2352.06,2000.67,1125.27,430.45275,2946.781192,102703.4557
59,2343.41,2042.31,1087.89,368.8475,2841.322429,102657.6653
60,2212.64,2077.27,940.466,165.82825,2595.304524,102477.0709
61,2082.31,2111.26,793.303,-35.46375,2352.255988,102296.7962
62,1988.12,2141.33,682.927,-187.68225,2159.662652,102161.5856
63,1987.42,2171.25,666.632,-225.19175,2083.174113,102141.6242
64,1990.96,2195.09,665.142,-250.05925,2021.243865,102139.7989
65,1991.43,2211.44,672.016,-269.51225,1967.042751,102148.2196
66,1986.83,2218.66,685.372,-283.99175,1920.383455,102164.5807
67,1975.89,2216.15,705.598,-294.3185,1881.397352,102189.3576
68,1947.46,2201.07,726.631,-310.67225,1840.418702,102215.123
69,1932.04,2192.97,779.249,-319.63925,1810.23937,102279.58
70,1924.05,2190.64,855.097,-326.57275,1785.262646,102372.4938
71,1905.92,2185.82,932.684,-342.8775,1754.094669,102467.5379
72,1861.56,2172.09,992.333,-380.39925,1705.284399,102540.6079
73,1780.31,2145.91,1019.24,-447.86,1630.888669,102573.569
74,1672.94,2114.71,1017.75,-541.16825,1534.874623,102571.7437
75,1535.17,2077.21,977.932,-663.999,1413.972132,102522.9667
76,1363.02,2031.2,889.777,-818.5205,1266.100973,102414.9768
77,1159.94,1977.02,751.741,-1000.923,1095.209468,102245.8827
78,935.488,1917.73,571.595,-1203.24645,909.3726823,102025.2039
79,739.646,1853.78,394.627,-1364.81415,769.2489003,101808.4181
80,553.143,1772.35,200.223,-1493.528575,667.6813467,101570.2732
81,394.303,1704.21,16.8958,-1604.636075,587.9863968,101345.6974
82,260.451,1651.75,-151.635,-1704.341275,523.0193615,101139.2471
83,139.101,1607.72,-310.892,-1799.058275,465.8751474,100944.1573
84,30.3413,1571.22,-454.256,-1887.576408,417.2180851,100768.5364
85,-70.006,1538.27,-581.132,-1970.1381,376.3052412,100613.1133
86,-162.88,1507.43,-689.778,-2046.12975,343.4430155,100480.0219
87,-240.551,1479.79,-771.84,-2107.417725,326.3962808,100379.496
88,-301.966,1456.53,-826.353,-2154.1576,324.6223099,100312.7176
89,-350.175,1437.88,-857.608,-2190.367375,333.8432186,100274.4302
90,-390.435,1423.06,-873.622,-2221.531375,348.0698479,100254.813
91,-429.208,1409.99,-884.161,-2253.01755,361.930594,100241.9028
92,-474.841,1396.76,-900.582,-2292.711225,367.2913205,100221.787
93,-533.572,1379.57,-934.113,-2343.59895,361.3746003,100180.7116
94,-600.778,1356.73,-983.879,-2397.9473,352.0114638,100119.7482
95,-672.663,1328.48,-1047.8,-2451.400175,343.7153348,100041.445
96,-747.232,1295.28,-1124.21,-2502.0772,338.4244676,99947.84275
97,-822.909,1257.2,-1210.32,-2548.133525,338.0764163,99842.358
98,-900.741,1213.62,-1305.06,-2590.092225,342.262788,99726.3015
99,-986.048,1165.42,-1412.65,-2635.5483,343.4771016,99594.50375
100,-1078.67,1114.72,-1530.28,-2686.90275,339.3215235,99450.407
101,-1181.36,1062.72,-1656.72,-2748.998,324.8613034,99295.518
102,-1281.09,1008.62,-1774.21,-2804.89475,317.0039373,99151.59275
103,-1367.91,952.299,-1870.93,-2842.256025,327.9962594,99033.11075
104,-1453.22,893.649,-1956.55,-2874.914525,343.9299956,98928.22625
105,-1542.06,833.041,-2035.7,-2909.498725,358.1257604,98831.2675
106,-1636.15,771.211,-2110.35,-2949.017225,367.5366289,98739.82125
107,-1735.23,709.197,-2181.37,-2994.423075,371.1024964,98652.82175
108,-1837.63,648.115,-2249.33,-3045.037625,369.3856702,98569.57075
109,-1940.77,589.003,-2314.62,-3098.971925,364.1153322,98489.5905
110,-2041.08,532.769,-2377.18,-3152.965025,358.3615876,98412.9545
111,-2133.99,480.053,-2435.89,-3202.202675,356.7401143,98341.03475
112,-2215.92,431.089,-2489.63,-3242.586025,363.1433419,98275.20325
113,-2286.92,385.629,-2539.17,-3273.872525,377.6444029,98214.51675
114,-2349.33,343.299,-2586.2,-3298.470525,397.7352275,98156.905
115,-2405.43,303.758,-2631.49,-3318.7553,420.9308221,98101.42475
116,-2455.74,266.926,-2673.73,-3335.26585,446.6394116,98049.68075
117,-2499.97,232.974,-2710.66,-3347.8564,474.9650597,98004.4415
118,-2538.44,202.232,-2740.76,-3357.3232,504.8893387,97967.569
119,-2571.46,174.947,-2763.09,-3364.348575,535.9930102,97940.21475
120,-2599.91,151.16,-2778.08,-3370.06075,566.9255168,97921.852
121,-2624.59,130.666,-2786.84,-3375.1886,597.0847029,97911.121
122,-2646.28,113.01,-2791.05,-3380.13025,625.7469078,97905.96375
123,-2665.39,97.628,-2792.25,-3384.69705,653.2705477,97904.49375
124,-2685,83.2812,-2793.27,-3391.14447,677.4980187,97903.24425
125,-2699.28,71.4894,-2790.98,-3394.192515,703.686969,97906.0495
126,-2705.21,62.5402,-2783.75,-3390.493995,735.1408357,97914.90625
127,-2709.32,55.22,-2776.87,-3386.5615,765.2531374,97923.33425
128,-2713.02,49.1271,-2771.58,-3383.630198,793.135442,97929.8145
129,-2717.74,43.9433,-2768.36,-3383.062042,817.3518652,97933.759
130,-2723.85,39.4595,-2766.33,-3385.054138,837.7562915,97936.24575
131,-2731.51,35.492,-2764.76,-3389.57745,854.6070985,97938.169
