time,field,initial_residual,final_residual,linear_iterations
1,Ux,1,0.0448736,6
1,Uy,1,0.0543454,5
1,p,1,0.00630402,6
1,omega,0.0889499,0.00562548,1
1,k,1,0.019621,2
2,Ux,0.232355,0.00240584,2
2,Uy,0.267616,0.0186478,1
2,p,0.132759,0.001072,6
2,omega,0.141121,0.00860119,1
2,k,0.515441,0.00909927,2
3,Ux,0.380384,0.0107756,2
3,Uy,0.307159,0.00946937,2
3,p,0.0709088,0.000318649,7
3,omega,0.146409,0.00859336,1
3,k,0.425591,0.00531342,2
4,Ux,0.339895,0.00766499,2
4,Uy,0.247469,0.00675084,2
4,p,0.0793062,0.000593238,6
4,omega,0.127934,0.00889745,1
4,k,0.294604,0.00405353,2
5,Ux,0.219901,0.00618183,2
5,Uy,0.186757,0.00518311,2
5,p,0.123603,0.00101632,6
5,omega,0.107791,0.00911127,1
5,k,0.250226,0.00408008,2
6,Ux,0.140763,0.00430657,2
6,Uy,0.139302,0.00430121,2
6,p,0.326765,0.0013527,8
6,omega,0.106431,0.00758569,1
6,k,0.227801,0.0200907,1
7,Ux,0.126478,0.00267136,2
7,Uy,0.129352,0.00363293,2
7,p,0.226168,0.00184572,6
7,omega,0.0877105,0.00458083,1
7,k,0.215969,0.0177469,1
8,Ux,0.145892,0.00275703,2
8,Uy,0.141189,0.00247546,2
8,p,0.183408,0.000906781,5
8,omega,0.088225,0.00667446,1
8,k,0.209138,0.0178718,1
9,Ux,0.170767,0.00335909,2
9,Uy,0.13998,0.00292037,2
9,p,0.183626,0.00142472,5
9,omega,0.0849412,0.0041419,1
9,k,0.171746,0.0145138,1
10,Ux,0.202137,0.00333351,2
10,Uy,0.181192,0.00274868,2
10,p,0.203033,0.00181505,6
10,omega,0.0622916,0.00390303,1
10,k,0.125528,0.0104923,1
11,Ux,0.187791,0.00282223,2
11,Uy,0.175113,0.00310643,2
11,p,0.281775,0.00132202,7
11,omega,0.0515438,0.00377071,1
11,k,0.100319,0.00870054,1
12,Ux,0.131663,0.0127084,1
12,Uy,0.168754,0.00337339,2
12,p,0.272176,0.00232953,6
12,omega,0.0430103,0.00339114,1
12,k,0.093658,0.00801601,1
13,Ux,0.121577,0.00201276,2
13,Uy,0.143613,0.00267952,2
13,p,0.206694,0.00059733,6
13,omega,0.0374809,0.00310101,1
13,k,0.0871878,0.00830793,1
14,Ux,0.106939,0.00233697,2
14,Uy,0.121546,0.0027875,2
14,p,0.185326,0.00100356,5
14,omega,0.031244,0.002862,1
14,k,0.0804699,0.00793813,1
15,Ux,0.0934151,0.00223723,2
15,Uy,0.115047,0.00291784,2
15,p,0.185056,0.00141656,5
15,omega,0.0303414,0.00295891,1
15,k,0.0711836,0.00703981,1
16,Ux,0.0795831,0.00210005,2
