iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
1,-158201,-3459.35,-130488,-189558.5213,-187945.1899,-58522.8
2,-159510,-4233.34,-33079.3,-190213.9085,-186351.9564,60802.8575
3,-104678,-3614.5,-30522.9,-123802.7875,-118368.0406,63934.4475
4,-21486.7,-2147.02,-52772.9,-23691.108,-17467.41872,36678.1975
5,47623.3,-509.744,-58515,58962.9789,65343.12623,29644.125
6,80846.4,793.097,-42034.1,98065.29618,104145.7031,49833.2275
7,77082.5,1437.51,-41808.1,92665.11275,98182.78817,50110.0775
8,50414.1,1499.83,-51907.2,59919.98075,64806.76554,37738.68
9,9935.69,1162.54,-71672.5,10747.10875,15118.2035,13526.1875
10,-27088.8,594.604,-97485.4,-33912.1699,-29810.9787,-18094.615
11,-49797.2,-21.6952,-122264,-60974.99338,-56853.84486,-48448.4
12,-54150.6,-448.483,-128317,-65785.09333,-61454.35036,-55863.325
13,-42297.8,-615.701,-114935,-51060.57128,-46450.28996,-39470.375
14,-20772.8,-552.758,-85342.8,-24769.55145,-19915.40889,-3219.93
15,341.348,-366.267,-52629.9,866.828375,5878.847986,36853.3725
16,18484.5,-111.25,-21064.7,22779.79375,27839.41269,75520.7425
17,28138.3,108.768,2101.55,34336.1767,39350.00718,103899.3987
18,28308.9,222.024,15231.6,34406.4231,39324.94659,119983.71
19,21133.9,243.989,19901.7,25590.14098,30402.76858,125704.5825
20,11602.9,204.54,20091.3,13962.991,18685.93763,125936.8425
21,1996.92,126.682,18049,2291.04155,6956.426834,123435.025
22,-5828.41,32.7082,15354.5,-7179.869795,-2530.880121,120134.2625
23,-10535.8,-50.5058,12957.2,-12844.48539,-8172.680135,117197.57
24,-12118.7,-86.3697,11107.8,-14739.60462,-10027.76398,114932.055
25,-11001.2,-88.8534,9614.22,-13367.62459,-8615.248548,113102.4195
26,-8904.16,-70.8794,7748.93,-10820.76874,-6038.542002,110817.4392
27,-5936.47,-36.7844,5923.2,-7227.11486,-2427.948749,108580.92
28,-3265.15,-1.99085,3870.68,-3997.369959,803.0160818,106066.583
29,-1709.34,21.9778,1568.18,-2120.864305,2669.332319,103246.0205
30,-1001.56,37.194,-242.827,-1272.47365,3500.514339,101027.5369
31,-1090.82,35.7525,-1593.01,-1380.051312,3377.834639,99373.56275
32,-1352.14,32.7651,-2285.04,-1696.508748,3047.308177,98525.826
33,-1696.51,29.3937,-2461.68,-2114.232033,2616.548505,98309.442
34,-2429.23,20.1986,-2859.81,-3000.550035,1721.255861,97821.73275
35,-3105.34,9.55866,-3319.23,-3815.750859,901.8481748,97258.94325
36,-3490.45,0.87859,-3612.03,-4276.877523,440.4370668,96900.26325
37,-3377.35,-1.46313,-3582.8,-4135.461416,581.8870866,96936.07
38,-3081.66,-1.45908,-3490.34,-3773.246127,944.3234523,97049.3335
39,-2702.91,-0.888032,-3410.92,-3309.976911,1407.917183,97146.623
40,-2322.62,-0.702097,-3371.36,-2844.349431,1874.123132,97195.084
41,-2074.46,-0.0228692,-3365.47,-2541.185485,2177.701586,97202.29925
42,-1919.18,1.48769,-3326.88,-2352.81792,2365.654378,97249.572
43,-1828.97,3.64413,-3260.55,-2244.952309,2471.994813,97330.82625
44,-1815.09,6.23998,-3236.21,-2231.129226,2483.128076,97360.64275
45,-1815.42,8.15123,-3225.83,-2233.874757,2476.691204,97373.35825
46,-1839.78,9.05033,-3255.66,-2264.817154,2441.654052,97336.8165
47,-1945.88,9.71136,-3353.46,-2395.599416,2306.483626,97217.0115
48,-2109.46,9.75903,-3490.94,-2596.043312,2101.786385,97048.5985
49,-2288.44,8.89077,-3628.02,-2814.230193,1879.569233,96880.6755
50,-2437.25,7.38408,-3724.61,-2994.676748,1695.90205,96762.35275
51,-2543.9,5.86792,-3770.02,-3123.465702,1564.525621,96706.7255
52,-2629.07,4.65028,-3790.75,-3226.307343,1459.472407,96681.33125
53,-2707.09,3.76879,-3807.59,-3320.802018,1363.275376,96660.70225
54,-2786.06,3.22486,-3832.17,-3416.873953,1265.732484,96630.59175
55,-2866.41,3.05745,-3866.19,-3515.097626,1166.128292,96588.91725
56,-2940.8,3.27982,-3900.43,-3606.49778,1073.256675,96546.97325
57,-3003.16,3.79892,-3926.51,-3683.524677,994.5463449,96515.02525
58,-3053.57,4.50837,-3941.55,-3746.146003,929.9689849,96496.60125
59,-3088.3,5.35504,-3938.78,-3789.727424,884.0679579,96499.9945
60,-3111.66,6.1439,-3922.7,-3819.309778,851.8323913,96519.6925
61,-3134.6,6.70778,-3904.86,-3848.102031,820.2908951,96541.5465
62,-3165.9,6.97664,-3895.85,-3886.773884,778.5904745,96552.58375
63,-3210.73,6.93251,-3902.89,-3941.636575,720.6981145,96543.95975
64,-3265.77,6.59314,-3921.82,-4008.644847,650.9475875,96520.7705
65,-3327.02,6.06614,-3948.85,-4083.030522,573.8838592,96487.65875
66,-3390.85,5.48251,-3981.63,-4160.507325,493.9809067,96447.50325
67,-3453.17,4.96297,-4016.68,-4236.212888,416.0709792,96404.567
68,-3513.85,4.63027,-4054.15,-4310.138331,340.0923255,96358.66625
69,-3573.56,4.45069,-4092.42,-4383.063095,265.3418459,96311.7855
70,-3630.48,4.45492,-4127.62,-4452.795277,193.6566669,96268.6655
71,-3685.01,4.5735,-4159.48,-4519.739788,124.708089,96229.637
72,-3734.54,4.75518,-4185.68,-4580.636596,61.74598204,96197.542
73,-3779.23,4.93562,-4206.97,-4635.602885,4.642989606,96171.46175
74,-3819.17,5.08274,-4220.93,-4684.709607,-46.66176406,96154.36075
75,-3855.08,5.21893,-4227.39,-4728.866189,-93.08788787,96146.44725
76,-3890.31,5.29294,-4230.42,-4772.113602,-138.6358641,96142.7355
77,-3925.93,5.30946,-4232.21,-4815.768339,-184.6120746,96140.54275
78,-3961.08,5.28481,-4234,-4858.796892,-230.0996605,96138.35
79,-3997.58,5.24073,-4237.62,-4903.455394,-277.0707759,96133.9155
80,-4036.69,5.18889,-4244.4,-4951.30164,-327.2099802,96125.61
81,-4077.35,5.14032,-4253.84,-5001.050642,-379.2424197,96114.046
82,-4119.93,5.08253,-4266.64,-5053.140349,-433.5958848,96098.366
83,-4163.24,5.03362,-4281.54,-5106.135184,-488.8246292,96080.1135
84,-4211.7,4.96938,-4302.46,-5165.41999,-550.3134749,96054.4865
85,-4264.8,4.96939,-4328.58,-5230.467503,-617.5656212,96022.4895
86,-4323.22,4.93767,-4360.32,-5301.993146,-691.2761737,95983.608
87,-4382.41,4.8788,-4392.68,-5374.42878,-765.8566563,95943.967
88,-4434.5,4.78228,-4417.93,-5438.120793,-831.8004971,95913.03575
89,-4470.8,4.65186,-4428.23,-5482.428529,-878.1424071,95900.41825
90,-4486.04,4.45731,-4419.18,-5500.859205,-898.5061197,95911.5045
91,-4485.5,4.40604,-4395.13,-5500.134899,-899.6747375,95940.96575
92,-4483.99,4.43175,-4370.19,-5498.316644,-899.7398572,95971.51725
93,-4488.17,4.52465,-4351.72,-5503.550946,-906.8582382,95994.143
94,-4501.47,4.66734,-4344.04,-5520.018242,-925.2104211,96003.551
95,-4521.75,4.82825,-4345.85,-5545.058356,-952.1465575,96001.33375
96,-4545.56,4.96129,-4353.59,-5574.38858,-983.3433798,95991.85225
97,-4569.74,5.02479,-4363.11,-5604.086868,-1014.817925,95980.19025
98,-4592.92,4.99578,-4372.32,-5632.446831,-1044.802902,95968.908
99,-4616.94,4.83537,-4382.79,-5661.674828,-1075.392843,95956.08225
100,-4639,4.70754,-4392.69,-5688.541737,-1103.338575,95943.95475
101,-4657.73,4.51619,-4401.35,-5711.251583,-1126.773218,95933.34625
102,-4672.69,4.34663,-4408.54,-5729.369872,-1145.222079,95924.5385
103,-4683.96,4.27485,-4414.07,-5743.087691,-1158.856596,95917.76425
104,-4691.79,4.20767,-4418.45,-5752.597146,-1167.798421,95912.39875
105,-4696.24,4.13606,-4421.6,-5757.960673,-1172.07032,95908.54
106,-4700.9,4.02849,-4426.61,-5763.5374,-1175.930797,95902.40275
107,-4702.84,3.98999,-4430.55,-5765.866738,-1175.910611,95897.57625
108,-4703.1,3.89557,-4434.31,-5766.069573,-1173.03052,95892.97025
109,-4700.42,3.75854,-4436.76,-5762.618712,-1165.851293,95889.969
110,-4692.78,3.55894,-4436.76,-5753.015202,-1151.521046,95889.969
111,-4679.97,3.32874,-4435.95,-5737.040957,-1129.920373,95890.96125
112,-4670.38,2.95152,-4443.57,-5724.831112,-1111.105821,95881.62675
113,-4670.93,2.44678,-4465.69,-5724.886556,-1103.530513,95854.52975
114,-4687.3,1.87114,-4505.66,-5744.234647,-1114.225035,95805.5665
115,-4717.08,1.34022,-4557.7,-5780.06477,-1140.452948,95741.8175
116,-4749.84,0.917441,-4610.42,-5819.677865,-1169.492535,95677.2355
117,-4781.07,0.565831,-4661.06,-5857.503893,-1196.19154,95615.2015
118,-4807.23,0.254913,-4707.18,-5889.169018,-1216.329142,95558.7045
119,-4827.88,-0.0652223,-4748.99,-5914.073103,-1229.162979,95507.48725
120,-4844.63,-0.452074,-4788.65,-5934.117959,-1236.902556,95458.90375
121,-4857.11,-0.902083,-4825.4,-5948.854698,-1239.2684,95413.885
122,-4864.74,-1.42577,-4858.64,-5957.559932,-1235.735173,95373.166
123,-4864.1,-2.015,-4885.52,-5956.054125,-1222.319963,95340.238
124,-4854.03,-2.63785,-4903.88,-5942.955384,-1197.83629,95317.747
125,-4833.62,-3.25668,-4911.47,-5917.195067,-1161.429683,95308.44925
126,-4803.69,-3.81224,-4907.55,-5879.850256,-1114.410562,95313.25125
127,-4774.65,-4.26983,-4899.52,-5843.715708,-1069.766455,95323.088
128,-4750.43,-4.64469,-4891.23,-5813.587005,-1032.445914,95333.24325
129,-4729.94,-4.97799,-4883.68,-5788.078462,-1001.176906,95342.492
130,-4716.05,-5.32463,-4880.23,-5770.638578,-979.4428538,95346.71825
131,-4706.2,-5.72771,-4878.66,-5758.078555,-964.0415182,95348.6415
132,-4698,-6.19924,-4876.7,-5747.455931,-951.9885224,95351.0425
133,-4688.95,-6.72148,-4871.41,-5735.729937,-940.152747,95357.52275
134,-4674.48,-7.25732,-4857.84,-5717.347783,-922.902078,95374.146
135,-4654.62,-7.78544,-4835.54,-5692.372336,-900.2210709,95401.4635
136,-4625.27,-8.30526,-4800.67,-5655.781807,-866.8233935,95444.17925
137,-4590.89,-8.88115,-4758.54,-5612.960841,-828.2411252,95495.7885
138,-4553.89,-9.38969,-4711.99,-5567.01288,-787.3536614,95552.81225
139,-4520.74,-9.82921,-4666.95,-5525.865718,-752.0021413,95607.98625
140,-4492.85,-10.1852,-4624.77,-5491.26438,-723.844869,95659.65675
141,-4469.19,-10.4649,-4584.79,-5461.938248,-701.534446,95708.63225
142,-4447.75,-10.6901,-4544.74,-5435.398378,-682.4949851,95757.6935
143,-4425.64,-10.8832,-4502.26,-5408.07708,-663.0916481,95809.7315
144,-4400.99,-11.0646,-4456.34,-5377.658615,-640.9012253,95865.9835
145,-4372.87,-11.2595,-4407.03,-5342.972862,-614.6958465,95926.38825
146,-4342.65,-11.4804,-4356.37,-5305.68276,-586.0602726,95988.44675
147,-4314.02,-11.7373,-4308.67,-5270.296308,-559.2669287,96046.87925
148,-4287.94,-12.0232,-4265.8,-5237.99808,-535.7557367,96099.395
149,-4265.49,-12.3089,-4229.48,-5210.146848,-516.6792775,96143.887
150,-4246.25,-12.5651,-4199.68,-5186.264003,-501.5497651,96180.392
151,-4227.55,-12.7691,-4174.04,-5163.106603,-487.1049563,96211.801
152,-4209.92,-12.91,-4152.85,-5141.33725,-474.0181778,96237.75875
153,-4194.19,-13.0061,-4136.6,-5121.950278,-463.2742216,96257.665
154,-4179.66,-13.0593,-4124.44,-5104.085858,-454.0137404,96272.561
155,-4163.25,-13.013,-4113.02,-5084.040325,-442.5637713,96286.5505
156,-4144.89,-12.8732,-4101.98,-5061.72058,-428.8618322,96300.0745
157,-4123.44,-12.6536,-4089.86,-5035.71334,-411.5151909,96314.9215
158,-4097.74,-12.3987,-4074.78,-5004.543093,-389.1854214,96333.3945
159,-4065.67,-12.1589,-4055.72,-4965.551098,-358.9098517,96356.743
160,-4031.59,-11.9957,-4037.3,-4924.003018,-326.0811975,96379.3075
161,-3999.33,-11.9135,-4022.37,-4884.585213,-295.3760142,96397.59675
162,-3972.48,-11.8967,-4013.33,-4851.714543,-271.1909474,96408.67075
163,-3951.52,-11.9047,-4009.52,-4826.028743,-254.1842155,96413.338
164,-3933.67,-11.9027,-4007.38,-4804.164943,-240.9417406,96415.9595
165,-3915.88,-11.8741,-4003.25,-4782.407228,-227.7471319,96421.01875
166,-3897.03,-11.828,-3995.61,-4759.37245,-213.2170174,96430.37775
167,-3875.29,-11.7511,-3982.43,-4732.835153,-195.1358268,96446.52325
168,-3848.45,-11.6637,-3961.69,-4700.063218,-170.8016699,96471.92975
169,-3815.27,-11.5441,-3932.3,-4659.564228,-138.7321123,96507.9325
170,-3784.46,-11.3817,-3902.99,-4622.020918,-109.6404645,96543.83725
