time,field,initial_residual,final_residual,linear_iterations
31,Ux,0.0114191,0.000578262,2
31,Uy,0.0247741,0.00128705,2
31,p,0.173505,0.00167594,4
31,omega,0.00760902,0.000281132,2
31,k,0.0313086,0.0012383,2
32,Ux,0.0113109,0.000571299,2
32,Uy,0.0239697,0.00126466,2
32,p,0.182782,0.0016673,5
32,omega,0.00738168,0.000269549,2
32,k,0.0300798,0.0011895,2
33,Ux,0.0104095,0.000526294,2
33,Uy,0.0233116,0.00124326,2
33,p,0.206845,0.00128914,6
33,omega,0.00708564,0.000257496,2
33,k,0.0289235,0.00114339,2
34,Ux,0.00888283,0.00044808,2
34,Uy,0.0233932,0.00124153,2
34,p,0.26439,0.00145081,6
34,omega,0.00685737,0.000247749,2
34,k,0.0277495,0.00111319,2
35,Ux,0.0079407,0.000398062,2
35,Uy,0.0235869,0.00126371,2
35,p,0.248466,0.00248278,5
35,omega,0.00649943,0.0002394,2
35,k,0.0268179,0.00107895,2
36,Ux,0.00805933,0.000407948,2
36,Uy,0.0239942,0.0012824,2
36,p,0.194048,0.000871909,6
36,omega,0.00615572,0.000229952,2
36,k,0.0257893,0.00104713,2
37,Ux,0.00816919,0.000418699,2
37,Uy,0.0240287,0.00131051,2
37,p,0.164002,0.00143399,4
37,omega,0.00589272,0.000222104,2
37,k,0.0248064,0.00101872,2
38,Ux,0.00792686,0.000410633,2
38,Uy,0.0239959,0.00131446,2
38,p,0.158608,0.00138784,5
38,omega,0.00558692,0.000212297,2
38,k,0.0235543,0.00099287,2
39,Ux,0.00736441,0.000390644,2
39,Uy,0.0237665,0.00131773,2
39,p,0.167409,0.00108741,6
39,omega,0.0054029,0.000206289,2
39,k,0.0228536,0.000971076,2
40,Ux,0.00679263,0.000367622,2
40,Uy,0.0233707,0.00130258,2
40,p,0.194227,0.00111871,6
40,omega,0.00529321,0.000202216,2
40,k,0.0220999,0.000952999,2
41,Ux,0.0066369,0.000363227,2
41,Uy,0.0229679,0.0012894,2
41,p,0.23048,0.00107477,6
41,omega,0.00520418,0.000198909,2
41,k,0.0214289,0.000938131,2
42,Ux,0.00670261,0.000368389,2
42,Uy,0.0225984,0.001272,2
42,p,0.243499,0.00110751,6
42,omega,0.0050885,0.00019476,2
42,k,0.0208061,0.000924284,2
43,Ux,0.00667184,0.0003687,2
43,Uy,0.0222679,0.00126324,2
43,p,0.236412,0.00200575,5
43,omega,0.00493996,0.00018999,2
43,k,0.0204174,0.000912609,2
44,Ux,0.00651672,0.000363455,2
44,Uy,0.0221171,0.00125669,2
44,p,0.23489,0.0011478,6
44,omega,0.004772,0.000185656,2
44,k,0.0199944,0.000901549,2
45,Ux,0.00625285,0.000352923,2
45,Uy,0.0220639,0.00125903,2
45,p,0.224622,0.00205324,5
45,omega,0.00463552,0.000181285,2
45,k,0.0195983,0.00089071,2
46,Ux,0.00595943,0.000341048,2
46,Uy,0.0219064,0.00126175,2
46,p,0.197498,0.000813426,6
46,omega,0.00451189,0.00017725,2
46,k,0.0191915,0.000882399,2
47,Ux,0.00566814,0.000329318,2
47,Uy,0.0218886,0.00126782,2
47,p,0.179144,0.00100883,6
47,omega,0.00439349,0.000173557,2
47,k,0.018872,0.000876433,2
48,Ux,0.00544903,0.000320538,2
48,Uy,0.021831,0.00127363,2
48,p,0.171403,0.000917944,6
48,omega,0.00429313,0.000170223,2
48,k,0.0186014,0.000871461,2
49,Ux,0.00530406,0.000314248,2
49,Uy,0.0218665,0.00128132,2
49,p,0.170488,0.00123163,5
49,omega,0.00417491,0.000167417,2
49,k,0.0183082,0.00086831,2
50,Ux,0.0051952,0.000309758,2
50,Uy,0.0218507,0.00129098,2
50,p,0.170114,0.00145548,5
50,omega,0.00406425,0.00016477,2
50,k,0.0180705,0.000866621,2
51,Ux,0.00509422,0.000305035,2
51,Uy,0.0219851,0.00130107,2
51,p,0.16818,0.000788926,6
51,omega,0.00394153,0.000162124,2
51,k,0.0178736,0.000866105,2
52,Ux,0.00501396,0.000301371,2
52,Uy,0.0220093,0.00131257,2
52,p,0.17115,0.00101786,6
52,omega,0.00381873,0.000159343,2
52,k,0.0176693,0.000867933,2
53,Ux,0.00496864,0.000299523,2
53,Uy,0.022012,0.00131999,2
53,p,0.172655,0.0014152,5
53,omega,0.003732,0.000156832,2
53,k,0.0174641,0.000871052,2
54,Ux,0.00491127,0.000296333,2
54,Uy,0.0219478,0.00132526,2
54,p,0.169955,0.00150485,5
54,omega,0.0036737,0.000154322,2
54,k,0.0172934,0.000876123,2
55,Ux,0.00487228,0.000293531,2
55,Uy,0.0218562,0.0013262,2
55,p,0.168973,0.00156587,5
55,omega,0.00360991,0.000151989,2
55,k,0.017164,0.000883011,2
56,Ux,0.00485124,0.000291053,2
56,Uy,0.0217883,0.00132502,2
56,p,0.168157,0.00153893,5
56,omega,0.00354193,0.000149449,2
