iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
86,-2685.7,5.54148,-1245.37,-3296.770813,1430.67368,99799.42175
87,-2732.27,5.35868,-1342.32,-3353.595133,1372.927051,99680.658
88,-2734.33,5.34675,-1405.71,-3356.104019,1369.495753,99603.00525
89,-2764.06,5.33911,-1496.46,-3392.51391,1332.173374,99491.8365
90,-2760.15,5.35263,-1565.63,-3387.740722,1336.023944,99407.10325
91,-2780.97,5.44282,-1655.98,-3413.355705,1309.466179,99296.4245
92,-2772.28,5.46293,-1725.51,-3402.735089,1319.153936,99211.25025
93,-2787.06,5.56773,-1805.75,-3420.968969,1299.956994,99112.95625
94,-2773.34,5.58052,-1855.91,-3404.177637,1315.785151,99051.51025
95,-2782.61,5.64941,-1908.45,-3415.617777,1303.371688,98987.14875
96,-2765.74,5.65131,-1926.46,-3394.954355,1323.051637,98965.0865
97,-2773.64,5.6483,-1946.3,-3404.628168,1312.40427,98940.7825
98,-2757.31,5.64414,-1933.65,-3384.618822,1331.439947,98956.27875
99,-2769.62,5.58858,-1931.98,-3399.630511,1315.464513,98958.3245
100,-2756.96,5.57459,-1907.68,-3384.104873,1330.026293,98988.092
101,-2773.21,5.49671,-1904.93,-3403.91572,1309.261518,98991.46075
102,-2763.72,5.48155,-1885.59,-3392.271899,1319.961343,99015.15225
103,-2759.81,5.45669,-1875.77,-3387.451695,1323.837442,99027.18175
104,-2775.01,5.40942,-1886.78,-3406.01379,1304.341181,99013.6945
105,-2771.16,5.39039,-1884.39,-3401.274228,1308.146469,99016.62225
106,-2769.25,5.37463,-1886.75,-3398.915172,1309.571146,99013.73125
107,-2781.37,5.36362,-1904.84,-3413.748685,1293.813197,98991.571
108,-2774.95,5.3628,-1906.23,-3405.88318,1300.754162,98989.86825
109,-2770.37,5.36618,-1910.18,-3400.276821,1305.425827,98985.0295
110,-2783.68,5.38064,-1932.56,-3416.599284,1288.168562,98957.614
111,-2776.64,5.38738,-1936.12,-3407.983541,1295.859452,98953.253
112,-2771.41,5.39547,-1942.19,-3401.586701,1301.321281,98945.81725
113,-2787.59,5.40483,-1969.64,-3421.418667,1280.554197,98912.191
114,-2781,5.40822,-1975.65,-3413.350069,1287.687571,98904.82875
115,-2775.82,5.40883,-1983.14,-3407.005317,1293.096994,98895.6535
